レコードID,会社名,医療機関コード（正）,郵便番号,都道府県／地域,市区町村,ウェブサイトURL,正規化名,名寄せキー種別,重複グループID,代表フラグ,検索クエリ
343452797688,さえレディースクリニック,1418110340,236-0027,神奈川県,横浜市金沢区瀬戸１６－３２　ＴＨＥ　ＰＬＡＣＥ八景４階,,さえレディスクリニック,CODE,G000021,代表,さえレディースクリニック 横浜市金沢区 公式サイト
343452739293,かじがや耳鼻咽喉科,1415310982,213-0015,神奈川県,川崎市高津区梶ケ谷２－１－２　シーズ梶ヶ谷１階Ｃ号室,,かじがや耳鼻咽喉科,CODE,G000022,代表,かじがや耳鼻咽喉科 川崎市高津区 公式サイト
343392399042,北信越クリニック,1510313503,943-0861,新潟県,上越市大和５丁目２７番４号,,北信越クリニック,CODE,G000023,代表,北信越クリニック 上越市 公式サイト
343452699381,しんこやす・おおぐち耳鼻咽喉科　漢方内科　小児科,1412105000,221-0013,神奈川県,横浜市神奈川区新子安１－３３－１５　グリシーヌ横浜１０２号室,,しんこやすおおぐち耳鼻咽喉科漢方内科小児科,CODE,G000024,代表,しんこやす・おおぐち耳鼻咽喉科 漢方内科 小児科 横浜市神奈川区 公式サイト
343408585460,甲府セレニティクリニック,1910116522,400-0822,山梨県,甲府市里吉三丁目１０番２号,,甲府セレニティクリニック,CODE,G000025,代表,甲府セレニティクリニック 甲府市 公式サイト
343392399041,ＳａｌｕｓＮｏｖａ クリニック,2310506726,450-6019,愛知県,名古屋市中村区名駅１－１－４ ＪＲセントラルタワーズ１９階,,salusnovaクリニック,CODE,G000026,代表,SalusNova クリニック 名古屋市中村区 公式サイト
343390618334,横浜駅前さいとう整形外科・スポーツクリニック,1412110860,221-0835,神奈川県,横浜市神奈川区鶴屋町二丁目１１番地８　２階,,横浜駅前さいとう整形外科スポツクリニック,CODE,G000027,代表,横浜駅前さいとう整形外科・スポーツクリニック 横浜市神奈川区 公式サイト
343466040051,緑が丘クリニック,1910116506,400-0008,山梨県,甲府市緑が丘２丁目７番７号,,緑が丘クリニック,CODE,G000028,代表,緑が丘クリニック 甲府市 公式サイト
343452797687,はれまちクリニック,1510313511,943-0821,新潟県,上越市土橋２５９４番地,,はれまちクリニック,CODE,G000029,代表,はれまちクリニック 上越市 公式サイト
343390618333,Ｓｈａｒｅ　Ｃｌｉｎｉｃ,1415211677,211-0063,神奈川県,川崎市中原区小杉町６－４３２－６　むさし野サントラービル３階,,shareclinic,CODE,G000030,代表,Share Clinic 川崎市中原区 公式サイト
343466072777,七夕よろずクリニック,2312206127,491-0831,愛知県,一宮市森本１－１１－２０,,七夕よろずクリニック,CODE,G000031,代表,七夕よろずクリニック 一宮市 公式サイト
343449129688,和穏在宅クリニック,2311503607,465-0066,愛知県,名古屋市名東区梅森坂西２－６１６ 横井コーポ１階 １Ｄ,,和穏在宅クリニック,CODE,G000032,代表,和穏在宅クリニック 名古屋市名東区 公式サイト
343323314917,あらかわ医院南院,2314501483,488-0006,愛知県,尾張旭市大久手町中松原１１４－１,,あらかわ医院南院,CODE,G000033,代表,あらかわ医院南院 尾張旭市 公式サイト
343452650194,戸塚駅前みんなの整形外科,1411011352,244-0003,神奈川県,横浜市戸塚区戸塚町４１０７番地１　オセアン里山１階２階,,戸塚駅前みんなの整形外科,CODE,G000034,代表,戸塚駅前みんなの整形外科 横浜市戸塚区 公式サイト
343442010819,ごうだ整形外科,1412410850,253-0017,神奈川県,茅ヶ崎市松林２－５－３３,,ごうだ整形外科,CODE,G000035,代表,ごうだ整形外科 茅ヶ崎市 公式サイト
343395881661,さこ整形外科・リハビリテーション科,1412810570,257-0034,神奈川県,秦野市大秦町２－１６　クリエイトエス・ディー秦野大秦町店２Ｆ,,さこ整形外科リハビリテション科,CODE,G000036,代表,さこ整形外科・リハビリテーション科 秦野市 公式サイト
343466040050,医療法人社団テラス　立川南口クリニック,1313025749,190-0023,東京都,立川市柴崎町三丁目８番１号　ＮＡＣビル６階,,テラス立川南口クリニック,CODE,G000037,代表,医療法人社団テラス 立川南口クリニック 立川市 公式サイト
343452835559,ＢＡＳＥＧＡＴＥ横浜関内クリニック,1414117770,231-0017,神奈川県,横浜市中区港町一丁目１番地１　ＢＡＳＥＧＡＴＥ横浜関内タワー７Ｆ,,basegate横浜関内クリニック,CODE,G000038,代表,BASEGATE横浜関内クリニック 横浜市中区 公式サイト
343442010820,木月住吉内科クリニック,1415211669,211-0021,神奈川県,川崎市中原区木月住吉町２１番１号　ＡＺＺＵＲＲＩ元住吉１階,,木月住吉内科クリニック,CODE,G000039,代表,木月住吉内科クリニック 川崎市中原区 公式サイト
343406757565,ねもと内科・糖尿病甲状腺クリニック,1413711835,227-0062,神奈川県,横浜市青葉区青葉台一丁目１５－１３　青葉台メディカルブリッジ２階１号室,,ねもと内科糖尿病甲状腺クリニック,CODE,G000040,代表,ねもと内科・糖尿病甲状腺クリニック 横浜市青葉区 公式サイト
343323314916,羽沢横浜内科・内視鏡クリニック,1412110940,221-0866,神奈川県,横浜市神奈川区羽沢南二丁目４４番７号　ＨＡＺＡＡＲ４階,,羽沢横浜内科内視鏡クリニック,CODE,G000041,代表,羽沢横浜内科・内視鏡クリニック 横浜市神奈川区 公式サイト
343465937608,痛みと向き合うペインクリニック,2311603142,468-0015,愛知県,名古屋市天白区原２－９０７ Ｖ・ｄｒｕｇ天白原店２階,,痛みと向き合うペインクリニック,CODE,G000042,代表,痛みと向き合うペインクリニック 名古屋市天白区 公式サイト
343406757564,桜花クリニック,2314800968,470-1161,愛知県,豊明市栄町武侍４１,,桜花クリニック,CODE,G000043,代表,桜花クリニック 豊明市 公式サイト
343465937607,こどもとおとなの ななき在宅クリニック,1912310248,409-3804,山梨県,中央市井之口１１３９番地１,,こどもとおとなのななき在宅クリニック,CODE,G000044,代表,こどもとおとなの ななき在宅クリニック 中央市 公式サイト
343253909192,豊川おうちクリニック,2312602556,442-0887,愛知県,豊川市明野町１－１３,,豊川おうちクリニック,CODE,G000045,代表,豊川おうちクリニック 豊川市 公式サイト
343244911322,こもれびクリニック,2312105923,444-0834,愛知県,岡崎市柱町東荒子２１０ デバイスビル４０３,,こもれびクリニック,CODE,G000046,代表,こもれびクリニック 岡崎市 公式サイト
343449129687,あがのわたなべ内科・消化器内科,1512110329,959-2033,新潟県,阿賀野市百津町３番４４号,,あがのわたなべ内科消化器内科,CODE,G000047,代表,あがのわたなべ内科・消化器内科 阿賀野市 公式サイト
343395881660,エターナルクリニック,1412612406,252-0237,神奈川県,相模原市中央区千代田１－６－１　久保田ビル３０２,,エタナルクリニック,CODE,G000048,代表,エターナルクリニック 相模原市中央区 公式サイト
343323314915,あぐい服部整形外科いたみのクリニック,2315703138,470-2202,愛知県,知多郡阿久比町福住西前田１３６－７,,あぐい服部整形外科いたみのクリニック,CODE,G000049,代表,あぐい服部整形外科いたみのクリニック 知多郡阿久比町 公式サイト
343244911321,まなべ医院,2310506742,453-0015,愛知県,名古屋市中村区椿町１３－２４ 徳勝ビル２階,,まなべ医院,CODE,G000050,代表,まなべ医院 名古屋市中村区 公式サイト
343452835558,登戸産婦人科,1415411103,214-0014,神奈川県,川崎市多摩区登戸１６８０－１,,登戸産婦人科,CODE,G000051,代表,登戸産婦人科 川崎市多摩区 公式サイト
343244911320,熊谷医院,1415010970,210-0846,神奈川県,川崎市川崎区小田５丁目２８番１５号,,熊谷医院,CODE,G000052,代表,熊谷医院 川崎市川崎区 公式サイト
343466072776,南大高内科ハートクリニック,2311403840,459-8002,愛知県,名古屋市緑区森の里１－９６－３,,南大高内科ハトクリニック,CODE,G000053,代表,南大高内科ハートクリニック 名古屋市緑区 公式サイト
343465937606,ホームクリニック西橋本,1412612471,252-0131,神奈川県,相模原市緑区西橋本５－４－３　コトエ橋本２階２０３１区画,,ホムクリニック西橋本,CODE,G000054,代表,ホームクリニック西橋本 相模原市緑区 公式サイト
343449129686,医療法人社団ナイズ　キャップスクリニック相模大野,1412612356,252-0303,神奈川県,相模原市南区相模大野４－４－３　２階,,ナイズキャップスクリニック相模大野,CODE,G000055,代表,医療法人社団ナイズ キャップスクリニック相模大野 相模原市南区 公式サイト
343323314914,森のやすらぎクリニック,1313825742,183-0014,東京都,府中市是政５－１７－１４　ＴＷＴビル１階,,森のやすらぎクリニック,CODE,G000056,代表,森のやすらぎクリニック 府中市 公式サイト
343253909190,杉浦真弓不育症クリニック,2310803131,467-0066,愛知県,名古屋市瑞穂区洲山町１－１３－８,,杉浦真弓不育症クリニック,CODE,G000057,代表,杉浦真弓不育症クリニック 名古屋市瑞穂区 公式サイト
343244911319,上大岡あきら整形外科,1415105860,232-0064,神奈川県,横浜市南区別所３－８－３　別所クリニックビル２階,,上大岡あきら整形外科,CODE,G000058,代表,上大岡あきら整形外科 横浜市南区 公式サイト
343452835557,名古屋駅前ゆう美容クリニック,2310506718,450-0002,愛知県,名古屋市中村区名駅４－２６－９ ＮＥＷ ＡＧ ＴＯＷＥＲ Ⅰ ３階,,名古屋駅前ゆう美容クリニック,CODE,G000059,代表,名古屋駅前ゆう美容クリニック 名古屋市中村区 公式サイト
343406757563,新宿美容外科クリニック　立川院,1313025764,190-0012,東京都,立川市曙町二丁目７番１９号　ＭＡビル５階,,新宿美容外科クリニック立川院,CODE,G000060,代表,新宿美容外科クリニック 立川院 立川市 公式サイト
343395881659,みなとしょホームクリニック,1413610573,245-0023,神奈川県,横浜市泉区和泉中央南一丁目１１－３,,みなとしょホムクリニック,CODE,G000061,代表,みなとしょホームクリニック 横浜市泉区 公式サイト
343323314913,あいちハートクリニック野並,2311603001,468-0046,愛知県,名古屋市天白区古川町１５８ 野並メディカルステーション１階,,あいちハトクリニック野並,CODE,G000062,代表,あいちハートクリニック野並 名古屋市天白区 公式サイト
343253909191,車道こころのクリニック,2310203381,461-0003,愛知県,名古屋市東区筒井３－２４－６ＧＲＡＮＤＥ ＬＵＣＥ ＫＵＲＵＭＡＭＩＣＨＩ１階,,車道こころのクリニック,CODE,G000063,代表,車道こころのクリニック 名古屋市東区 公式サイト
343466072775,にしたんＡＲＴクリニック名古屋栄院,2310608795,460-0003,愛知県,名古屋市中区錦３－２５－１ ザ・ランドマーク名古屋栄１６階,,にしたんartクリニック名古屋栄院,CODE,G000064,代表,にしたんARTクリニック名古屋栄院 名古屋市中区 公式サイト
343442010818,みまもりクリニック,1312722882,189-0012,東京都,東村山市萩山町４－１－１０　１階,,みまもりクリニック,CODE,G000065,代表,みまもりクリニック 東村 公式サイト
343408585459,いとう眼科,2317200539,496-0924,愛知県,愛西市善太新田町十二上７０－１,,いとう眼科,CODE,G000066,代表,いとう眼科 愛西市 公式サイト
343395881658,ひなたこどもクリニック,1314226106,182-0012,東京都,調布市深大寺東町２－２３－５　深大寺メディカルビル２０３,,ひなたこどもクリニック,CODE,G000067,代表,ひなたこどもクリニック 調布市 公式サイト
343466072774,つじの内科クリニック,1313123569,185-0021,東京都,国分寺市南町３－２２－３１　国分寺南町ビル２階,,つじの内科クリニック,CODE,G000068,代表,つじの内科クリニック 国分寺市 公式サイト
343442010817,さいとう整形外科リウマチ科日進分院,2314901527,470-0124,愛知県,日進市浅田町東田面９４－３,,さいとう整形外科リウマチ科日進分院,CODE,G000069,代表,さいとう整形外科リウマチ科日進分院 日進市 公式サイト
343395880697,にじいろこどもとみんなのクリニックＬＩＣＯＰＡ東大和院,1314621470,207-0022,東京都,東大和市桜が丘二丁目１４２番地の１　ＬＩＣＯＰＡ東大和　テラス棟１０５,,にじいろこどもとみんなのクリニックlicopa東大和院,CODE,G000070,代表,にじいろこどもとみんなのクリニックLICOPA東大和院 東大和市 公式サイト
343244911318,レヴィアクリニック,2314501459,488-0015,愛知県,尾張旭市三郷町栄１０－１,,レヴィアクリニック,CODE,G000071,代表,レヴィアクリニック 尾張旭市 公式サイト
343465937605,万願寺ファミリークリニック,1313523743,191-0024,東京都,日野市万願寺３丁目２５－８,,万願寺ファミリクリニック,CODE,G000072,代表,万願寺ファミリークリニック 日野市 公式サイト
343449129685,医療法人社団大樹会　新東京クリニック　立川駅前院,1313025780,190-0012,東京都,立川市曙町二丁目７番１８号　ＭＩＳＵＭＩ　Ｂｌｄｇ．５階,,大樹会新東京クリニック立川駅前院,CODE,G000073,代表,医療法人社団大樹会 新東京クリニック 立川駅前院 立川市 公式サイト
343466072772,武蔵野市医師会立診療所,1313327699,180-0006,東京都,武蔵野市中町２－１５－５,,武蔵野市医師会立診療所,CODE,G000074,代表,武蔵野市医師会立診療所 武蔵野市 公式サイト
343452767963,刈谷駅あさのクリニック,2312902048,448-0858,愛知県,刈谷市若松町１－７２ 名鉄イン刈谷２階,,刈谷駅あさのクリニック,CODE,G000075,代表,刈谷駅あさのクリニック 刈谷市 公式サイト
343395880695,東京町田アーク内科・呼吸器クリニック,1313229770,194-0045,東京都,町田市南成瀬５－３３－１　南成瀬メディカルヴィレッジ　東棟１階,,東京町田アク内科呼吸器クリニック,CODE,G000076,代表,東京町田アーク内科・呼吸器クリニック 町田市 公式サイト
343466072773,岡崎ステーションこころのクリニック,2312105949,444-0819,愛知県,岡崎市岡崎駅前１－３－５ ＡＳＴＹ岡崎３階,,岡崎ステションこころのクリニック,CODE,G000077,代表,岡崎ステーションこころのクリニック 岡崎市 公式サイト
343406757562,あまねクリニック練馬院,1312038800,176-0005,東京都,練馬区旭丘二丁目１９番８号,,あまねクリニック練馬院,CODE,G000078,代表,あまねクリニック練馬院 練馬区 公式サイト
343406756601,なかよしみみはなのどクリニック,1312135895,123-0851,東京都,足立区梅田３丁目３０－７,,なかよしみみはなのどクリニック,CODE,G000079,代表,なかよしみみはなのどクリニック 足立区 公式サイト
343395880696,東京セインツクリニック,1312233849,124-0003,東京都,葛飾区お花茶屋一丁目２１番１７号,,東京セインツクリニック,CODE,G000080,代表,東京セインツクリニック 葛飾区 公式サイト
343392399040,ｃｅｒｉｓｉｅｒ ｃｌｉｎｉｃ,2310608746,460-0008,愛知県,名古屋市中区栄４－１－８ 栄サンシティービルＢ１,,cerisierclinic,CODE,G000081,代表,cerisier clinic 名古屋市中区 公式サイト
343465937604,優心クリニック横浜青葉,1413711843,227-0034,神奈川県,横浜市青葉区桂台二丁目４０番地２４　ココファン青葉台賃貸スペース４,,優心クリニック横浜青葉,CODE,G000082,代表,優心クリニック横浜青葉 横浜市青葉区 公式サイト
343399015110,アエラメディカルクリニック,1911311098,401-0501,山梨県,南都留郡山中湖村山中１２,,アエラメディカルクリニック,CODE,G000083,代表,アエラメディカルクリニック 南都留郡山中湖村 公式サイト
343452670690,東戸塚まいまい耳鼻咽喉科,1411011303,244-0805,神奈川県,横浜市戸塚区川上町８５－３　ＳＳビル１Ｆ,,東戸塚まいまい耳鼻咽喉科,CODE,G000084,代表,東戸塚まいまい耳鼻咽喉科 横浜市戸塚区 公式サイト
343452670689,あやこ皮膚科クリニック,2310506643,453-0021,愛知県,名古屋市中村区松原町５－６９,,あやこ皮膚科クリニック,CODE,G000085,代表,あやこ皮膚科クリニック 名古屋市中村区 公式サイト
343399015108,内科・循環器・糖尿病のこだいら小川町メディカルクリニック,1314323861,187-0031,東京都,小平市小川東町三丁目７番１号　ＦＬＡＴ小平１階１０８区画,,内科循環器糖尿病のこだいら小川町メディカルクリニック,CODE,G000086,代表,内科・循環器・糖尿病のこだいら小川町メディカルクリニック 小平市小川東町三丁目7番1号 FLAT小平1階108区 公式サイト
343279774420,藤が丘こどもあクリニック,2311503581,465-0033,愛知県,名古屋市名東区明が丘５２－２ プレスティア藤が丘１階１Ａ,,藤が丘こどもあクリニック,CODE,G000087,代表,藤が丘こどもあクリニック 名古屋市名東区 公式サイト
343272627950,名古屋あおいクリニック,2310203365,461-0005,愛知県,名古屋市東区東桜２－４－１ 第３コジマビル６階,,名古屋あおいクリニック,CODE,G000088,代表,名古屋あおいクリニック 名古屋市東区 公式サイト
343265437378,本皮ふ科,1510214099,940-0082,新潟県,長岡市千歳１丁目３番４１,,本皮ふ科,CODE,G000089,代表,本皮ふ科 長岡市 公式サイト
343253909189,Ｄメディカルクリニック,1415106020,232-0021,神奈川県,横浜市南区真金町１－６－２７,,dメディカルクリニック,CODE,G000090,代表,Dメディカルクリニック 横浜市南区 公式サイト
343465965284,茶屋モールクリニック,2311102095,455-0858,愛知県,名古屋市港区西茶屋２－１１ イオンモール名古屋茶屋１階,,茶屋モルクリニック,CODE,G000091,代表,茶屋モールクリニック 名古屋市港区 公式サイト
343464019652,見附ひかりクリニック,1511110783,954-0057,新潟県,見附市新町２丁目５番８－１号,,見附ひかりクリニック,CODE,G000092,代表,見附ひかりクリニック 見附市 公式サイト
343452739292,医療法人社団さくら　タムス眼科クリニック瑞江駅前,1312335289,132-0011,東京都,江戸川区瑞江２－１－１５　長塚第一ビル１階,,さくらタムス眼科クリニック瑞江駅前,CODE,G000093,代表,医療法人社団さくら タムス眼科クリニック瑞江駅前 江戸川区 公式サイト
343449129684,オトクリニック名古屋 覚王山,2310106048,464-0831,愛知県,名古屋市千種区観月町１－５７ クリニックテラス覚王山２階,,オトクリニック名古屋覚王山,CODE,G000094,代表,オトクリニック名古屋 覚王山 名古屋市千種区 公式サイト
343399015109,シグナス形成外科美容外科クリニック,1510128372,950-0088,新潟県,新潟市中央区万代１－２－３　コープ野村万代２１４号,,シグナス形成外科美容外科クリニック,CODE,G000095,代表,シグナス形成外科美容外科クリニック 新潟市中央区 公式サイト
343288732356,あや形成外科・皮ふ科 白壁,2310203399,461-0011,愛知県,名古屋市東区白壁３－２１－２７,,あや形成外科皮ふ科白壁,CODE,G000096,代表,あや形成外科・皮ふ科 白壁 名古屋市東区 公式サイト
343272627949,鴨居つむぎ小児科・皮膚科,1413310935,226-0003,神奈川県,横浜市緑区鴨居４－１－１　鴨居フロントビル　１階,,鴨居つむぎ小児科皮膚科,CODE,G000097,代表,鴨居つむぎ小児科・皮膚科 横浜市緑区 公式サイト
343201665755,医療法人正心会　湘南せきのこどもクリニック,1412212868,251-0052,神奈川県,藤沢市藤沢２１８番地１,,正心会湘南せきのこどもクリニック,CODE,G000098,代表,医療法人正心会 湘南せきのこどもクリニック 藤沢市 公式サイト
343464019651,はまさき医院,1414210761,243-0401,神奈川県,海老名市東柏ケ谷２丁目２９番１８号　加藤ビル１０１号,,はまさき医院,CODE,G000099,代表,はまさき医院 海老名市 公式サイト
343198138054,尾張旭駅北 かみむら内科ハートクリニック,2314501475,488-0801,愛知県,尾張旭市東大道町原田２－１,,尾張旭駅北かみむら内科ハトクリニック,CODE,G000100,代表,尾張旭駅北 かみむら内科ハートクリニック 尾張旭市 公式サイト
343464019650,大船駅前なかしま腎泌尿器科クリニック,1412111094,247-0056,神奈川県,鎌倉市大船１－２２－２６　大船ミクリエ３階④号室,,大船駅前なかしま腎泌尿器科クリニック,CODE,G000101,代表,大船駅前なかしま腎泌尿器科クリニック 鎌倉市 公式サイト
343464019649,じょうえい心臓クリニック,1910812443,409-3851,山梨県,中巨摩郡昭和町河西１６０９－２,,じょうえい心臓クリニック,CODE,G000102,代表,じょうえい心臓クリニック 中巨摩郡昭和町 公式サイト
343452767962,うえだ在宅ケアクリニック,1415610910,215-0021,神奈川県,川崎市麻生区上麻生６丁目３９番３１号　コートレット１階,,うえだ在宅ケアクリニック,CODE,G000103,代表,うえだ在宅ケアクリニック 川崎市麻生区 公式サイト
343452767961,大口駅前みみはなのどクリニック,1412110520,221-0015,神奈川県,横浜市神奈川区神之木町１－３２　ＢｅａｎｓＡｎｎｅｘ大口　１Ｆ,,大口駅前みみはなのどクリニック,CODE,G000104,代表,大口駅前みみはなのどクリニック 横浜市神奈川区 公式サイト
343452699380,おれんじハウスそだちとケア診療所横浜,1413210887,241-0821,神奈川県,横浜市旭区二俣川２－４７－３,,おれんじハウスそだちとケア診療所横浜,CODE,G000105,代表,おれんじハウスそだちとケア診療所横浜 横浜市旭区 公式サイト
343272627947,ペンギンこころとからだのクリニック,2310608696,460-0012,愛知県,名古屋市中区千代田３－１１－７－２ ＦＡＣＥ鶴舞公園３階,,ペンギンこころとからだのクリニック,CODE,G000106,代表,ペンギンこころとからだのクリニック 名古屋市中区 公式サイト
343272627946,ＡＳＣＥＮＴ　ＭＥＮＴＡＬ　ＣＬＩＮＩＣ　ｓａｇｉｎｕｍａ,1415510839,216-0004,神奈川県,川崎市宮前区鷺沼三丁目１－２１　２階,,ascentmentalclinicsaginuma,CODE,G000107,代表,ASCENT MENTAL CLINIC saginuma 川崎市宮前区 公式サイト
343205293763,大府うららクリニック,2314201241,474-0062,愛知県,大府市共西町４－４８７,,大府うららクリニック,CODE,G000108,代表,大府うららクリニック 大府市 公式サイト
343198138055,こいずみ腎・泌尿器科クリニック,1411911478,238-0007,神奈川県,横須賀市若松町二丁目３１番地　学校法人山本学園総合ビル　１階,,こいずみ腎泌尿器科クリニック,CODE,G000109,代表,こいずみ腎・泌尿器科クリニック 横須賀市 公式サイト
343464019648,八丈島こころみクリニック,1315827530,100-1511,東京都,八丈島八丈町三根３０６番地１,,八丈島こころみクリニック,CODE,G000110,代表,八丈島こころみクリニック 八丈島八丈町 公式サイト
343370586812,センター北循環器・内科ＮＣクリニック,1413811056,224-0003,神奈川県,横浜市都筑区中川中央一丁目１番３号　１階（１０１Ａ区画）,,センタ北循環器内科ncクリニック,CODE,G000111,代表,センター北循環器・内科NCクリニック 横浜市都筑区 公式サイト
343316492024,三鷹あまの内科・腎クリニック,1313625332,181-0012,東京都,三鷹市上連雀二丁目７番１１号,,三鷹あまの内科腎クリニック,CODE,G000112,代表,三鷹あまの内科・腎クリニック 三鷹市 公式サイト
343279774419,ざま駅前スキンクリニック　皮フ科・美容皮フ科・形成外科,1414110342,252-0028,神奈川県,座間市入谷東三丁目６０番２号　小田急マルシェ座間Ⅰ　２階Ｅ区画,,ざま駅前スキンクリニック皮フ科美容皮フ科形成外科,CODE,G000113,代表,ざま駅前スキンクリニック 皮フ科・美容皮フ科・形成外科 座間市入谷東三丁目60番2号 小田急マルシェ座間I 2階E区 公式サイト
343452670688,ここにいるよクリニック,1415311022,213-0001,神奈川県,川崎市高津区溝口４－５－１０,,ここにいるよクリニック,CODE,G000114,代表,ここにいるよクリニック 川崎市高津区 公式サイト
343228602089,溝の口耳鼻咽喉科クリニック,1415310990,213-0001,神奈川県,川崎市高津区溝口２－１０－２　メディカルモール関口ビル５Ｆ,,溝の口耳鼻咽喉科クリニック,CODE,G000115,代表,溝の口耳鼻咽喉科クリニック 川崎市高津区 公式サイト
343288732355,医療法人社団育心会　国分寺なみき内科クリニック,1313123551,185-0005,東京都,国分寺市並木町三丁目２３番地２,,育心会国分寺なみき内科クリニック,CODE,G000116,代表,医療法人社団育心会 国分寺なみき内科クリニック 国分寺市 公式サイト
343201665754,サイトウみみ・はな・のどクリニック,2314800976,470-1101,愛知県,豊明市沓掛町寺池６４,,サイトウみみはなのどクリニック,CODE,G000117,代表,サイトウみみ・はな・のどクリニック 豊明市 公式サイト
