レコードID,会社名,医療機関コード（正）,郵便番号,都道府県／地域,市区町村,ウェブサイトURL,重複グループID,代表フラグ,URL確度,判定根拠,検索クエリ
343316492025,なおみファミリークリニック名古屋中小田井,2310403478,452-0822,愛知県,名古屋市西区中小田井３－１７ ツルハドラッグ中小田井店２階,https://naomi-family.com/,G000019,代表,高,公式サイト。西区中小田井3-17 ツルハドラッグ2階 一致,なおみファミリークリニック名古屋中小田井 名古屋市西区 公式サイト
343466040052,みたか武蔵野消化器内視鏡クリニック,1313327681,180-0013,東京都,武蔵野市西久保一丁目６番２５号　メディフロント武蔵野３階,https://www.mitaka-naishikyo.com/,G000020,代表,高,公式サイト。武蔵野市西久保1-6-25 メディフロント武蔵野3F 一致,みたか武蔵野消化器内視鏡クリニック 武蔵野市 公式サイト
343452797688,さえレディースクリニック,1418110340,236-0027,神奈川県,横浜市金沢区瀬戸１６－３２　ＴＨＥ　ＰＬＡＣＥ八景４階,https://sae-ladies.com/,G000021,代表,高,公式サイト。金沢区瀬戸16-32 THE PLACE八景4階 一致,さえレディースクリニック 横浜市金沢区 公式サイト
343452739293,かじがや耳鼻咽喉科,1415310982,213-0015,神奈川県,川崎市高津区梶ケ谷２－１－２　シーズ梶ヶ谷１階Ｃ号室,https://kajigaya-ent.com/,G000022,代表,高,公式サイト。高津区梶ケ谷2-1-2 シーズ梶ヶ谷1階 一致,かじがや耳鼻咽喉科 川崎市高津区 公式サイト
343392399042,北信越クリニック,1510313503,943-0861,新潟県,上越市大和５丁目２７番４号,https://hse-cl.com/,G000023,代表,高,公式サイト。上越市大和5-27-4 一致,北信越クリニック 上越市 公式サイト
343452699381,しんこやす・おおぐち耳鼻咽喉科　漢方内科　小児科,1412105000,221-0013,神奈川県,横浜市神奈川区新子安１－３３－１５　グリシーヌ横浜１０２号室,https://shinkoyasu-cl.com/,G000024,代表,高,公式サイト。神奈川区新子安1-33-15 グリシーヌ横浜102 一致,しんこやす・おおぐち耳鼻咽喉科 漢方内科 小児科 横浜市神奈川区 公式サイト
343408585460,甲府セレニティクリニック,1910116522,400-0822,山梨県,甲府市里吉三丁目１０番２号,https://koshokai-kofu-serenity.or.jp/,G000025,代表,高,公式サイト。甲府市里吉3-10-2 一致,甲府セレニティクリニック 甲府市 公式サイト
343392399041,ＳａｌｕｓＮｏｖａ クリニック,2310506726,450-6019,愛知県,名古屋市中村区名駅１－１－４ ＪＲセントラルタワーズ１９階,,G000026,代表,未検出,中村区名駅1-1-4 JRセントラルタワーズ19F・052-433-8840 まで特定。自院HPは確認できず,SalusNova クリニック 名古屋市中村区 公式サイト
343390618334,横浜駅前さいとう整形外科・スポーツクリニック,1412110860,221-0835,神奈川県,横浜市神奈川区鶴屋町二丁目１１番地８　２階,https://saitoseikei-yokohama.com/,G000027,代表,高,公式サイト。神奈川区鶴屋町2-11-8 2階 一致,横浜駅前さいとう整形外科・スポーツクリニック 横浜市神奈川区 公式サイト
343466040051,緑が丘クリニック,1910116506,400-0008,山梨県,甲府市緑が丘２丁目７番７号,https://midori-gaoka.jp/,G000028,代表,高,公式サイト。甲府市緑が丘2-7-7 一致（同名の千葉県・三重県の緑が丘クリニックとは別）,緑が丘クリニック 甲府市 公式サイト
343452797687,はれまちクリニック,1510313511,943-0821,新潟県,上越市土橋２５９４番地,,G000029,代表,未検出,医療法人社団長明会・上越市大字土橋2594・2026年7月開院まで特定。自院HPは確認できず,はれまちクリニック 上越市 公式サイト
343390618333,Ｓｈａｒｅ　Ｃｌｉｎｉｃ,1415211677,211-0063,神奈川県,川崎市中原区小杉町６－４３２－６　むさし野サントラービル３階,https://sharecli.co.jp/,G000030,代表,低,同名の「Share Clinic」公式サイトは存在するが、中原区小杉町6-432-6 むさし野サントラービル3階との住所一致を確認できず。要目視確認,Share Clinic 川崎市中原区 公式サイト
343466072777,七夕よろずクリニック,2312206127,491-0831,愛知県,一宮市森本１－１１－２０,https://www.tanabata-ycl.jp/,G000031,代表,高,公式サイト。一宮市の総合内科クリニックで一致,七夕よろずクリニック 一宮市 公式サイト
343449129688,和穏在宅クリニック,2311503607,465-0066,愛知県,名古屋市名東区梅森坂西２－６１６ 横井コーポ１階 １Ｄ,,G000032,代表,未検出,名東区梅森坂西2-616。同名施設の公式HPを確認できず,和穏在宅クリニック 名古屋市名東区 公式サイト
343323314917,あらかわ医院南院,2314501483,488-0006,愛知県,尾張旭市大久手町中松原１１４－１,https://arakawa-cl.com/,G000033,代表,中,南院専用サイトは無く、本院（医療法人あらかわ医院）公式サイト内に南院(2026/5/1開院・予防接種/発達支援)の案内あり,あらかわ医院南院 尾張旭市 公式サイト
343452650194,戸塚駅前みんなの整形外科,1411011352,244-0003,神奈川県,横浜市戸塚区戸塚町４１０７番地１　オセアン里山１階２階,https://ttkeveryoneseikeigeka.com/,G000034,代表,高,公式サイト。戸塚区戸塚町4107-1 オセアン里山1-2階 一致,戸塚駅前みんなの整形外科 横浜市戸塚区 公式サイト
343442010819,ごうだ整形外科,1412410850,253-0017,神奈川県,茅ヶ崎市松林２－５－３３,https://goda-orthopedic.com/,G000035,代表,高,公式サイト。茅ヶ崎市松林2-5-33 一致（goda-ortho.jp は同名別医院なので採用しない）,ごうだ整形外科 茅ヶ崎市 公式サイト
343395881661,さこ整形外科・リハビリテーション科,1412810570,257-0034,神奈川県,秦野市大秦町２－１６　クリエイトエス・ディー秦野大秦町店２Ｆ,https://sako-orthoclinic.com/,G000036,代表,高,公式サイト。秦野市大秦町2-16 2F 一致,さこ整形外科・リハビリテーション科 秦野市 公式サイト
343466040050,医療法人社団テラス　立川南口クリニック,1313025749,190-0023,東京都,立川市柴崎町三丁目８番１号　ＮＡＣビル６階,https://www.tachikawa-clinic.com/,G000037,代表,高,公式サイト。立川市柴崎町3-8-1 NACビル・医療法人社団テラスの分院で一致,医療法人社団テラス 立川南口クリニック 立川市 公式サイト
343452835559,ＢＡＳＥＧＡＴＥ横浜関内クリニック,1414117770,231-0017,神奈川県,横浜市中区港町一丁目１番地１　ＢＡＳＥＧＡＴＥ横浜関内タワー７Ｆ,https://www.wellbeing-yokohama.jp/,G000038,代表,高,公式サイト。中区港町1-1-1 BASEGATE横浜関内タワー7F 一致（女性専用人間ドック・健診）,BASEGATE横浜関内クリニック 横浜市中区 公式サイト
343442010820,木月住吉内科クリニック,1415211669,211-0021,神奈川県,川崎市中原区木月住吉町２１番１号　ＡＺＺＵＲＲＩ元住吉１階,https://www.ks-cli.jp/,G000039,代表,高,公式サイト。中原区木月住吉町21-1 AZZURRI元住吉1階 一致,木月住吉内科クリニック 川崎市中原区 公式サイト
343406757565,ねもと内科・糖尿病甲状腺クリニック,1413711835,227-0062,神奈川県,横浜市青葉区青葉台一丁目１５－１３　青葉台メディカルブリッジ２階１号室,https://www.nemoto-dmthyroid.com/,G000040,代表,高,公式サイト。青葉区青葉台の総合内科で一致,ねもと内科・糖尿病甲状腺クリニック 横浜市青葉区 公式サイト
343323314916,羽沢横浜内科・内視鏡クリニック,1412110940,221-0866,神奈川県,横浜市神奈川区羽沢南二丁目４４番７号　ＨＡＺＡＡＲ４階,https://www.hazawa-clinic.com/,G000041,代表,高,公式サイト。神奈川区羽沢南2-44-7 4F 一致,羽沢横浜内科・内視鏡クリニック 横浜市神奈川区 公式サイト
343465937608,痛みと向き合うペインクリニック,2311603142,468-0015,愛知県,名古屋市天白区原２－９０７ Ｖ・ｄｒｕｇ天白原店２階,https://www.itamitondeke.com/,G000042,代表,中,施設名が完全一致する公式サイト。天白区原2-907との住所照合は検索結果上では未確認,痛みと向き合うペインクリニック 名古屋市天白区 公式サイト
343406757564,桜花クリニック,2314800968,470-1161,愛知県,豊明市栄町武侍４１,https://ohka-clinic.com/,G000043,代表,高,公式サイト。豊明市栄町武侍41（桜花学園大学第2駐車場内）一致,桜花クリニック 豊明市 公式サイト
343465937607,こどもとおとなの ななき在宅クリニック,1912310248,409-3804,山梨県,中央市井之口１１３９番地１,,G000044,代表,未検出,中央市井之口1139-1。同名施設の公式HPを確認できず,こどもとおとなの ななき在宅クリニック 中央市 公式サイト
343253909192,豊川おうちクリニック,2312602556,442-0887,愛知県,豊川市明野町１－１３,,G000045,代表,未検出,豊川市明野町1-13。ouchide.clinic は別法人「おうちでクリニック」のため不採用,豊川おうちクリニック 豊川市 公式サイト
343244911322,こもれびクリニック,2312105923,444-0834,愛知県,岡崎市柱町東荒子２１０ デバイスビル４０３,,G000046,代表,未検出,岡崎市柱町東荒子210 デバイスビル403（厚生局の届出受理一覧で所在確認）。同名多数だが岡崎の自院HPは未確認,こもれびクリニック 岡崎市 公式サイト
343449129687,あがのわたなべ内科・消化器内科,1512110329,959-2033,新潟県,阿賀野市百津町３番４４号,https://www.agano-watanabenaika.jp/,G000047,代表,高,公式サイト。阿賀野市百津町3-44 一致,あがのわたなべ内科・消化器内科 阿賀野市 公式サイト
343395881660,エターナルクリニック,1412612406,252-0237,神奈川県,相模原市中央区千代田１－６－１　久保田ビル３０２,https://www.eternal-clinic.com/,G000048,代表,高,公式サイト。相模原市中央区千代田1-6-1 久保田ビル302 一致（訪問診療専門）,エターナルクリニック 相模原市中央区 公式サイト
343323314915,あぐい服部整形外科いたみのクリニック,2315703138,470-2202,愛知県,知多郡阿久比町福住西前田１３６－７,https://agui-seikei.com/,G000049,代表,高,公式サイト。知多郡阿久比町福住西前田136-7 一致（2026/6/17開院）,あぐい服部整形外科いたみのクリニック 知多郡阿久比町 公式サイト
343244911321,まなべ医院,2310506742,453-0015,愛知県,名古屋市中村区椿町１３－２４ 徳勝ビル２階,,G000050,代表,未検出,中村区椿町13-24 徳勝ビル2階。同ビル2Fは「ほんべクリニック」がヒット。まなべ医院の自院HPは確認できず,まなべ医院 名古屋市中村区 公式サイト
343452835558,登戸産婦人科,1415411103,214-0014,神奈川県,川崎市多摩区登戸１６８０－１,https://www.noborito-obgyn.com/,G000051,代表,高,公式サイト。川崎市多摩区登戸の産婦人科で一致,登戸産婦人科 川崎市多摩区 公式サイト
343244911320,熊谷医院,1415010970,210-0846,神奈川県,川崎市川崎区小田５丁目２８番１５号,,G000052,代表,未検出,川崎区小田5-28-15・044-322-5957・内科/小児科/耳鼻咽喉科まで特定。自院HPは確認できず,熊谷医院 川崎市川崎区 公式サイト
343466072776,南大高内科ハートクリニック,2311403840,459-8002,愛知県,名古屋市緑区森の里１－９６－３,https://minamioodaka-heart.com/,G000053,代表,高,公式サイト。緑区森の里1-96-3 一致（2026/5/1開院）,南大高内科ハートクリニック 名古屋市緑区 公式サイト
343465937606,ホームクリニック西橋本,1412612471,252-0131,神奈川県,相模原市緑区西橋本５－４－３　コトエ橋本２階２０３１区画,https://www.homeclinic-nishihashimoto.com/,G000054,代表,高,公式サイト。緑区西橋本 コトエ橋本内 一致（2026/8/1開院）,ホームクリニック西橋本 相模原市緑区 公式サイト
