レコードID,会社名,医療機関コード（正）,郵便番号,都道府県／地域,市区町村,ウェブサイトURL,正規化名,名寄せキー種別,重複グループID,代表フラグ,検索クエリ
343452797688,さえレディースクリニック,1418110340,236-0027,神奈川県,横浜市金沢区瀬戸１６－３２　ＴＨＥ　ＰＬＡＣＥ八景４階,,さえレディスクリニック,CODE,G000021,代表,さえレディースクリニック 横浜市金沢区 公式サイト
343452739293,かじがや耳鼻咽喉科,1415310982,213-0015,神奈川県,川崎市高津区梶ケ谷２－１－２　シーズ梶ヶ谷１階Ｃ号室,,かじがや耳鼻咽喉科,CODE,G000022,代表,かじがや耳鼻咽喉科 川崎市高津区 公式サイト
343392399042,北信越クリニック,1510313503,943-0861,新潟県,上越市大和５丁目２７番４号,,北信越クリニック,CODE,G000023,代表,北信越クリニック 上越市 公式サイト
343452699381,しんこやす・おおぐち耳鼻咽喉科　漢方内科　小児科,1412105000,221-0013,神奈川県,横浜市神奈川区新子安１－３３－１５　グリシーヌ横浜１０２号室,,しんこやすおおぐち耳鼻咽喉科漢方内科小児科,CODE,G000024,代表,しんこやす・おおぐち耳鼻咽喉科 漢方内科 小児科 横浜市神奈川区 公式サイト
343408585460,甲府セレニティクリニック,1910116522,400-0822,山梨県,甲府市里吉三丁目１０番２号,,甲府セレニティクリニック,CODE,G000025,代表,甲府セレニティクリニック 甲府市 公式サイト
343392399041,ＳａｌｕｓＮｏｖａ クリニック,2310506726,450-6019,愛知県,名古屋市中村区名駅１－１－４ ＪＲセントラルタワーズ１９階,,salusnovaクリニック,CODE,G000026,代表,SalusNova クリニック 名古屋市中村区 公式サイト
343390618334,横浜駅前さいとう整形外科・スポーツクリニック,1412110860,221-0835,神奈川県,横浜市神奈川区鶴屋町二丁目１１番地８　２階,,横浜駅前さいとう整形外科スポツクリニック,CODE,G000027,代表,横浜駅前さいとう整形外科・スポーツクリニック 横浜市神奈川区 公式サイト
343466040051,緑が丘クリニック,1910116506,400-0008,山梨県,甲府市緑が丘２丁目７番７号,,緑が丘クリニック,CODE,G000028,代表,緑が丘クリニック 甲府市 公式サイト
343452797687,はれまちクリニック,1510313511,943-0821,新潟県,上越市土橋２５９４番地,,はれまちクリニック,CODE,G000029,代表,はれまちクリニック 上越市 公式サイト
343390618333,Ｓｈａｒｅ　Ｃｌｉｎｉｃ,1415211677,211-0063,神奈川県,川崎市中原区小杉町６－４３２－６　むさし野サントラービル３階,,shareclinic,CODE,G000030,代表,Share Clinic 川崎市中原区 公式サイト
343466072777,七夕よろずクリニック,2312206127,491-0831,愛知県,一宮市森本１－１１－２０,,七夕よろずクリニック,CODE,G000031,代表,七夕よろずクリニック 一宮市 公式サイト
343449129688,和穏在宅クリニック,2311503607,465-0066,愛知県,名古屋市名東区梅森坂西２－６１６ 横井コーポ１階 １Ｄ,,和穏在宅クリニック,CODE,G000032,代表,和穏在宅クリニック 名古屋市名東区 公式サイト
343323314917,あらかわ医院南院,2314501483,488-0006,愛知県,尾張旭市大久手町中松原１１４－１,,あらかわ医院南院,CODE,G000033,代表,あらかわ医院南院 尾張旭市 公式サイト
343452650194,戸塚駅前みんなの整形外科,1411011352,244-0003,神奈川県,横浜市戸塚区戸塚町４１０７番地１　オセアン里山１階２階,,戸塚駅前みんなの整形外科,CODE,G000034,代表,戸塚駅前みんなの整形外科 横浜市戸塚区 公式サイト
343442010819,ごうだ整形外科,1412410850,253-0017,神奈川県,茅ヶ崎市松林２－５－３３,,ごうだ整形外科,CODE,G000035,代表,ごうだ整形外科 茅ヶ崎市 公式サイト
343395881661,さこ整形外科・リハビリテーション科,1412810570,257-0034,神奈川県,秦野市大秦町２－１６　クリエイトエス・ディー秦野大秦町店２Ｆ,,さこ整形外科リハビリテション科,CODE,G000036,代表,さこ整形外科・リハビリテーション科 秦野市 公式サイト
343466040050,医療法人社団テラス　立川南口クリニック,1313025749,190-0023,東京都,立川市柴崎町三丁目８番１号　ＮＡＣビル６階,,テラス立川南口クリニック,CODE,G000037,代表,医療法人社団テラス 立川南口クリニック 立川市 公式サイト
343452835559,ＢＡＳＥＧＡＴＥ横浜関内クリニック,1414117770,231-0017,神奈川県,横浜市中区港町一丁目１番地１　ＢＡＳＥＧＡＴＥ横浜関内タワー７Ｆ,,basegate横浜関内クリニック,CODE,G000038,代表,BASEGATE横浜関内クリニック 横浜市中区 公式サイト
343442010820,木月住吉内科クリニック,1415211669,211-0021,神奈川県,川崎市中原区木月住吉町２１番１号　ＡＺＺＵＲＲＩ元住吉１階,,木月住吉内科クリニック,CODE,G000039,代表,木月住吉内科クリニック 川崎市中原区 公式サイト
343406757565,ねもと内科・糖尿病甲状腺クリニック,1413711835,227-0062,神奈川県,横浜市青葉区青葉台一丁目１５－１３　青葉台メディカルブリッジ２階１号室,,ねもと内科糖尿病甲状腺クリニック,CODE,G000040,代表,ねもと内科・糖尿病甲状腺クリニック 横浜市青葉区 公式サイト
343323314916,羽沢横浜内科・内視鏡クリニック,1412110940,221-0866,神奈川県,横浜市神奈川区羽沢南二丁目４４番７号　ＨＡＺＡＡＲ４階,,羽沢横浜内科内視鏡クリニック,CODE,G000041,代表,羽沢横浜内科・内視鏡クリニック 横浜市神奈川区 公式サイト
343465937608,痛みと向き合うペインクリニック,2311603142,468-0015,愛知県,名古屋市天白区原２－９０７ Ｖ・ｄｒｕｇ天白原店２階,,痛みと向き合うペインクリニック,CODE,G000042,代表,痛みと向き合うペインクリニック 名古屋市天白区 公式サイト
343406757564,桜花クリニック,2314800968,470-1161,愛知県,豊明市栄町武侍４１,,桜花クリニック,CODE,G000043,代表,桜花クリニック 豊明市 公式サイト
343465937607,こどもとおとなの ななき在宅クリニック,1912310248,409-3804,山梨県,中央市井之口１１３９番地１,,こどもとおとなのななき在宅クリニック,CODE,G000044,代表,こどもとおとなの ななき在宅クリニック 中央市 公式サイト
343253909192,豊川おうちクリニック,2312602556,442-0887,愛知県,豊川市明野町１－１３,,豊川おうちクリニック,CODE,G000045,代表,豊川おうちクリニック 豊川市 公式サイト
343244911322,こもれびクリニック,2312105923,444-0834,愛知県,岡崎市柱町東荒子２１０ デバイスビル４０３,,こもれびクリニック,CODE,G000046,代表,こもれびクリニック 岡崎市 公式サイト
343449129687,あがのわたなべ内科・消化器内科,1512110329,959-2033,新潟県,阿賀野市百津町３番４４号,,あがのわたなべ内科消化器内科,CODE,G000047,代表,あがのわたなべ内科・消化器内科 阿賀野市 公式サイト
343395881660,エターナルクリニック,1412612406,252-0237,神奈川県,相模原市中央区千代田１－６－１　久保田ビル３０２,,エタナルクリニック,CODE,G000048,代表,エターナルクリニック 相模原市中央区 公式サイト
343323314915,あぐい服部整形外科いたみのクリニック,2315703138,470-2202,愛知県,知多郡阿久比町福住西前田１３６－７,,あぐい服部整形外科いたみのクリニック,CODE,G000049,代表,あぐい服部整形外科いたみのクリニック 知多郡阿久比町 公式サイト
343244911321,まなべ医院,2310506742,453-0015,愛知県,名古屋市中村区椿町１３－２４ 徳勝ビル２階,,まなべ医院,CODE,G000050,代表,まなべ医院 名古屋市中村区 公式サイト
343452835558,登戸産婦人科,1415411103,214-0014,神奈川県,川崎市多摩区登戸１６８０－１,,登戸産婦人科,CODE,G000051,代表,登戸産婦人科 川崎市多摩区 公式サイト
343244911320,熊谷医院,1415010970,210-0846,神奈川県,川崎市川崎区小田５丁目２８番１５号,,熊谷医院,CODE,G000052,代表,熊谷医院 川崎市川崎区 公式サイト
343466072776,南大高内科ハートクリニック,2311403840,459-8002,愛知県,名古屋市緑区森の里１－９６－３,,南大高内科ハトクリニック,CODE,G000053,代表,南大高内科ハートクリニック 名古屋市緑区 公式サイト
343465937606,ホームクリニック西橋本,1412612471,252-0131,神奈川県,相模原市緑区西橋本５－４－３　コトエ橋本２階２０３１区画,,ホムクリニック西橋本,CODE,G000054,代表,ホームクリニック西橋本 相模原市緑区 公式サイト
