レコードID,会社名,医療機関コード（正）,郵便番号,都道府県／地域,市区町村,ウェブサイトURL
343390618333,Ｓｈａｒｅ　Ｃｌｉｎｉｃ,1415211677,211-0063,神奈川県,川崎市中原区小杉町６－４３２－６　むさし野サントラービル３階,
343466072777,七夕よろずクリニック,2312206127,491-0831,愛知県,一宮市森本１－１１－２０,
343449129688,和穏在宅クリニック,2311503607,465-0066,愛知県,名古屋市名東区梅森坂西２－６１６ 横井コーポ１階 １Ｄ,
343323314917,あらかわ医院南院,2314501483,488-0006,愛知県,尾張旭市大久手町中松原１１４－１,
343452650194,戸塚駅前みんなの整形外科,1411011352,244-0003,神奈川県,横浜市戸塚区戸塚町４１０７番地１　オセアン里山１階２階,
343442010819,ごうだ整形外科,1412410850,253-0017,神奈川県,茅ヶ崎市松林２－５－３３,
343395881661,さこ整形外科・リハビリテーション科,1412810570,257-0034,神奈川県,秦野市大秦町２－１６　クリエイトエス・ディー秦野大秦町店２Ｆ,
343466040050,医療法人社団テラス　立川南口クリニック,1313025749,190-0023,東京都,立川市柴崎町三丁目８番１号　ＮＡＣビル６階,
343452835559,ＢＡＳＥＧＡＴＥ横浜関内クリニック,1414117770,231-0017,神奈川県,横浜市中区港町一丁目１番地１　ＢＡＳＥＧＡＴＥ横浜関内タワー７Ｆ,
343442010820,木月住吉内科クリニック,1415211669,211-0021,神奈川県,川崎市中原区木月住吉町２１番１号　ＡＺＺＵＲＲＩ元住吉１階,
343406757565,ねもと内科・糖尿病甲状腺クリニック,1413711835,227-0062,神奈川県,横浜市青葉区青葉台一丁目１５－１３　青葉台メディカルブリッジ２階１号室,
343323314916,羽沢横浜内科・内視鏡クリニック,1412110940,221-0866,神奈川県,横浜市神奈川区羽沢南二丁目４４番７号　ＨＡＺＡＡＲ４階,
343465937608,痛みと向き合うペインクリニック,2311603142,468-0015,愛知県,名古屋市天白区原２－９０７ Ｖ・ｄｒｕｇ天白原店２階,
343406757564,桜花クリニック,2314800968,470-1161,愛知県,豊明市栄町武侍４１,
343465937607,こどもとおとなの ななき在宅クリニック,1912310248,409-3804,山梨県,中央市井之口１１３９番地１,
343253909192,豊川おうちクリニック,2312602556,442-0887,愛知県,豊川市明野町１－１３,
343244911322,こもれびクリニック,2312105923,444-0834,愛知県,岡崎市柱町東荒子２１０ デバイスビル４０３,
343449129687,あがのわたなべ内科・消化器内科,1512110329,959-2033,新潟県,阿賀野市百津町３番４４号,
343395881660,エターナルクリニック,1412612406,252-0237,神奈川県,相模原市中央区千代田１－６－１　久保田ビル３０２,
343323314915,あぐい服部整形外科いたみのクリニック,2315703138,470-2202,愛知県,知多郡阿久比町福住西前田１３６－７,
343244911321,まなべ医院,2310506742,453-0015,愛知県,名古屋市中村区椿町１３－２４ 徳勝ビル２階,
343452835558,登戸産婦人科,1415411103,214-0014,神奈川県,川崎市多摩区登戸１６８０－１,
343244911320,熊谷医院,1415010970,210-0846,神奈川県,川崎市川崎区小田５丁目２８番１５号,
343466072776,南大高内科ハートクリニック,2311403840,459-8002,愛知県,名古屋市緑区森の里１－９６－３,
343465937606,ホームクリニック西橋本,1412612471,252-0131,神奈川県,相模原市緑区西橋本５－４－３　コトエ橋本２階２０３１区画,
